Organización Inventario	Artículo	Descripción	Fecha de Creacion	Fecha de ultima actualizacion	Creado Por	Importado	Provisión Inventarios	NUMERADOS	En Custodia	Artículo Plan Vallejo	Cliente Producto	Flexfield12	flexfield13	Pricat Desc Larga	Pricat Desc Corta	Responsabilidad	Actualizado por	Atributo6	Crear En Wip	Suministro Tipo	Subinventario	WIP_SUPPLY_LOCATOR_ID	Localizador	Tipo Tolerancia	Valor Tolerancia	Arrastre Inventario	Retraso Operación
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000161	TORNILLO CABEZA HEXAGONAL 1/2 X 1 ZINCADO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000162	TORNILLO CABEZA HEXAGONAL 5/16 X 1/2 ZINCADO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000164	TORNILLO CABEZA AVELLANADA 8 X 1/2 NEGRO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000165	TORNILLO CABEZA AVELLANADA 8 X 1/2 ZINCADO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000166	TORNILLO CABEZA AVELLANADA 8 X 1.1/2 ZINCADO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000167	TORNILLO CABEZA AVELLANADA 1/2 X 1/4 ZINCADO	1-ago-07	28-jul-22	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	FRUALES674_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000168	TORNILLO ANCLAJE NYLON 3/16 X 1.1/4 REF: NR-3114	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000172	TORNILLO CABEZA EXTRAPLANA 8 X 1/2 ZINCADO PUNTA AGUDA	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000174	TORNILLO CABEZA PLANA 8 X 3/8 ZINCADO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000175	TORNILLO CABEZA ESTRIA 10 X 3/4 ZINCADO	31-jul-07	11-may-21	AANGULO637_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000176	TORNILLO CABEZA CILINDRICA RANURADO 2 1/2 X 12 ZINCADO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
M03 CARVAJAL ESPACIOS PLANTA PALMIRA	22000177	TORNILLO CABEZA PLANA RANURADO 1.1/2 X 10 ZINCADO	1-ago-07	11-may-21	ERINCON092_CO											MEPAL_CO_INV_CREADOR_ARTICULOS	YCONSTAIN805_CO		Y	Proceso Tirar Operación	MP_WIP	364336	EN .  1.  1.  1.                      .                      				
