Principal|Nivel|Artículo|Descripción|Tipo|Estado|Planeador|Sec Artículo|Sec Op|UDM|Cantidad Unitaria|Cantidad Extendida|Tipo Suministro|Subinventario|Localizador|Tipo Costo|Costo Materiales|Costo Recurso|Gsto Grl|Costo Unitario|Costo Extendido|Accesorio S/N|Fecha inactivo|Alterno|Component_Yiel|Categoria Producto
22000009782|1|22005610|TORNILLO CABEZA HEXAGONAL M8 X 30|MP|Active||75|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|1|22005613|TUERCA M8 ZINCADA|MP|Active||85|10|und|4|4|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009782|1|22001402|EMPAQUE REPISA METALICA 2 UNIDADES|ME|Active||120|10|und|.1|.1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|0|22000009786|PANEL VIDRIO ANCHO 90CM H MENOR IGUAL 318CM VETRO VTPN020000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000009786|1|22005398|VIDRIO TRANSPARENTE TEMPLADO DE 10MM SOLO VETRO|MP|Active||10|10|m2|2.9413092|2.9413092|Proceso Tirar Operación|CARPINT|VID.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|1|22011781|KIT VETRO SIST. NIVELA. Y BLOQUEO PARED DE VIDRIO 10MM BLOCKING SYSTEM 10MM PART# I3303A0102|MP|Active||20|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|1|22011785|VETRO PLATINA NIVELADOR - PLATE FOR BLOKING SYSTEM PART# SI3304P0101 MPR080212|MP|Active||40|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|1|22005612|TORNILLO ALLEN M8 X 40|MP|Active||65|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|1|22005610|TORNILLO CABEZA HEXAGONAL M8 X 30|MP|Active||75|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|1|22005613|TUERCA M8 ZINCADA|MP|Active||85|10|und|4|4|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009786|1|22001402|EMPAQUE REPISA METALICA 2 UNIDADES|ME|Active||120|10|und|.1|.1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009791|0|22000009791|KIT UNION A 180 GRADOS VIDRIO DE 10MM VETRO VTAC030000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000009791|1|22011792|VETRO PERFIL POLICARBONATO UNIONES A 180 - TWO WAY 180 CONECTOR (GLASS TH. 10MM) PART# H2.818 3000MM|MP|Active||10|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|0|22000009792|KIT UNION A 90 GRADOS VIDRIO DE 10MM VETRO  VTAC040000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000009792|1|22011793|VETRO PERFIL POLICARBONATO GIROSA  90 TWO-WAY 90 CONECTOR (GLASSTH. 10MM) PART# H2.819|MP|Active||10|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|1|22011783|VETRO PUNT. PLAST. GIRO 90 ZOCALO INFERIOR - END CAP FOR BASE TRIM PART# SI3303P0301 MPR080214|MP|Active||20|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|1|22011784|VETRO PUNT. PLAST. GIRO 90 PERFIL TECHO- END CAP FOR ALUM. CELING TRACK PART# SI3303P0302 MPR080215|MP|Active||30|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|1|25018533|PARTE-VETRO PLATINA UNION 90° VTAC040010|AI|Active||40|10|und|1|1|Proceso Tirar Operación|SOLDADURA|SOL.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|2|22012309|LAMINA PLANA GALVANIZADA 4X8 ESPESOR 1.50MM|MP|Active||10|10|kg|.10016274|.10016274|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|1|25018534|PARTE-VETRO PLATINA GUIA 90° VTAC040020|AI|Active||50|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|2|22012309|LAMINA PLANA GALVANIZADA 4X8 ESPESOR 1.50MM|MP|Active||10|10|kg|.00354|.00354|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|1|22000159|TORNILLO AUTOPERFORANTE CABEZA EXTRAPLANA 8 X 1/2 REF:234 ZINCADO NEGRO|MP|Active||60|10|und|4|4|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009792|1|22000165|TORNILLO CABEZA AVELLANADA 8 X 1/2 ZINCADO|MP|Active||70|10|und|2|2|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|0|22000009983|DUCTO BAJANTE TECHO LINK LKAC130000||Active|||und|1|1|||...|CSTLPRECIO|0|0|0|0|0|||||
22000009983|1|25010147|ARMADA-COLUMNA DUCTO BAJANTE TECHO LINK LKAC131000|AI|Active||10|10|und|1|1|Proceso Tirar Operación|SOLDADURA|SOL.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|2|25010142|PARTE-CUERPO COLUMNA DUCTO BAJANTE TECHO LINK LKAC131010|AI|Active||10|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|3|22006037|LAMINA PLANA 4X8 ESPESOR 0.9MM|MP|Active||10|10|kg|6.07108867|6.07108867|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|2|25010143|PARTE-DIVISOR CUERPO DUCTO BAJANTE TECHO LINK LKAC131020|AI|Active||20|10|und|2|2|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|3|22006037|LAMINA PLANA 4X8 ESPESOR 0.9MM|MP|Active||10|10|kg|1.77759057|1.77759057|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|2|25010144|PARTE-SOPORTE COLUMNA DUCTO BAJANTE TECHO LINK LKAC131030|AI|Active||30|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|3|22006037|LAMINA PLANA 4X8 ESPESOR 0.9MM|MP|Active||10|10|kg|.074232877|.074232877|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|25010146|ARMADA-ACOPLE DUCTO BAJANTE TECHO LINK LKAC132000|AI|Active||20|10|und|1|1|Proceso Tirar Operación|SOLDADURA|SOL.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|2|25010145|PARTE-CUERPO ACOPLE DUCTO BAJANTE TECHO LINK LKAC132010|AI|Active||10|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|3|22006027|LAMINA PLANA 4X8 ESPESOR 1.20MM|MP|Active||10|10|kg|1.91921808|1.91921808|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|2|25009479|PARTE-SOPORTE CUERPO VIGA LINK DUCTO DE CABLEADO DE INTEGRACION 10X50X10 LKSO091020|AI|Active||20|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|3|22006027|LAMINA PLANA 4X8 ESPESOR 1.20MM|MP|Active||10|10|kg|.37021603|.37021603|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|25028197|PARTE-DIVISOR DUCTO BAJANTE TECHO LKAC130020|AI|Active||21|10|und|1|1|Proceso Tirar Operación|SOLDADURA|SOL.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|2|22006027|LAMINA PLANA 4X8 ESPESOR 1.20MM|MP|Active||10|10|kg|.14025055|.14025055|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|25010144|PARTE-SOPORTE COLUMNA DUCTO BAJANTE TECHO LINK LKAC131030|AI|Active||22|10|und|1|1|Proceso Tirar Operación|DOBLADORAS|DOB.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|2|22006037|LAMINA PLANA 4X8 ESPESOR 0.9MM|MP|Active||10|10|kg|.074232877|.074232877|Proceso Tirar Operación|CORTYPUNZ|CYP.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22002524|PERFIL NAL TAPA VIGA COMPENDIO COLOR NEGRO TIRA 3000MM MPR060047|MP|Active||30|10|und|1.67|1.67|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
22000009983|1|22007761|TORNILLO CABEZA EXTRAPLANA 8 X  9/16 ZINCADO|MP|Active||40|10|und|1|1|Proceso Tirar Operación|MP_WIP|EN.1.1.1|CSTLPRECIO|0|0|0|0|0||||1|
